measnum,mpdsector,projsym,varname,descrip,units,method,intervention,paneldesc,datatype,sextested,nstrainstested,ageweeks
1401,css,Johnson1,age_yng,"age of younger group (local parameter)",d,"colony observation",,inbred,,both,28,
1402,css,Johnson1,click_yng,"auditory brainstem response (ABR) threshold, 3-12 wk old group, sound pressure level, click stimulus",dB,"ABR test",,inbred,,both,28,3-12wks
1403,css,Johnson1,pip8kHz_yng,"auditory brainstem response (ABR) threshold, 3-12 wk old group, sound pressure level, 8kHz pip stimulus",dB,"ABR test",,inbred,,both,42,3-12wks
1404,css,Johnson1,pip16kHz_yng,"auditory brainstem response (ABR) threshold, 3-12 wk old group, sound pressure level, 16kHz pip stimulus",dB,"ABR test",,inbred,,both,42,3-12wks
1405,css,Johnson1,pip32kHz_yng,"auditory brainstem response (ABR) threshold, 3-12 wk old group, sound pressure level, 32kHz pip stimulus",dB,"ABR test",,inbred,,both,42,3-12wks
1406,css,Johnson1,age_old,"age of older group (local parameter)",d,"colony observation",,inbred,,both,21,
1407,css,Johnson1,click_old,"auditory brainstem response (ABR) threshold, 15-72 wk old group, sound pressure level, click stimulus",dB,"ABR test",,inbred,,both,21,15-72wks
1408,css,Johnson1,pip8kHz_old,"auditory brainstem response (ABR) threshold, 15-72 wk old group, sound pressure level, 8kHz pip stimulus",dB,"ABR test",,inbred,,both,27,15-72wks
1409,css,Johnson1,pip16kHz_old,"auditory brainstem response (ABR) threshold, 15-72 wk old group, sound pressure level, 16kHz pip stimulus",dB,"ABR test",,inbred,,both,27,15-72wks
1410,css,Johnson1,pip32kHz_old,"auditory brainstem response (ABR) threshold, 15-72 wk old group, sound pressure level, 32kHz pip stimulus",dB,"ABR test",,inbred,,both,27,15-72wks
1501,css,Dietrich1,anthrax_lethal_toxin,"susceptibility to Bacillus anthracis (0=susceptible, 1=resistant)",designation,"in vitro assay","Bacillus anthracis lethal toxin",inbred,,f,50,6-8wks*
1604,css,Schulz1,bw,"body weight",g,"body weight",,inbred,,both,7,12-14wks
1605,css,Schulz1,age,"age (local parameter)",d,"colony observation",,inbred,,both,7,
1606,css,Schulz1,IC,"inspiratory capacity (+ 25 cm H<sub>2</sub>O)",&micro;L,ventilator,,inbred,,both,7,12-14wks
1607,css,Schulz1,FRC,"functional residual capacity",&micro;L,ventilator,,inbred,,both,7,12-14wks
1608,css,Schulz1,TLC,"total lung capacity",&micro;L,ventilator,,inbred,,both,7,12-14wks
1609,css,Schulz1,VC,"vital capacity",&micro;L,ventilator,,inbred,,both,7,12-14wks
1610,css,Schulz1,Cdyn130,"dynamic compliance of respiratory system with breathing rate of 130 per min (H<sub>2</sub>O pressure)",&micro;L/cm,ventilator,,inbred,,both,7,12-14wks
1611,css,Schulz1,CRS,"static compliance of respiratory system (H<sub>2</sub>O pressure)",&micro;L/cm,ventilator,,inbred,,both,7,12-14wks
1612,css,Schulz1,CL,"static compliance of lung (H<sub>2</sub>O pressure)",&micro;L/cm,ventilator,,inbred,,both,7,12-14wks
1613,css,Schulz1,R,"respiratory system resistance with breathing rate of 130 per min (H<sub>2</sub>O pressure)",cm/mL/s,ventilator,,inbred,,both,7,12-14wks
1614,css,Schulz1,sR,"specific respiratory system resistance with breathing rate of 130 per min related to total lung capacity (H<sub>2</sub>O pressure)",cm&sdot;s,ventilator,,inbred,,both,7,12-14wks
1616,css,Schulz1,slope,"intrapulmonary gas mixing: slope of phase III (Hg pressure)",mm/mL,ventilator,,inbred,,both,7,12-14wks
1617,css,Schulz1,VA,"alveolar volume",&micro;L,ventilator,,inbred,,both,7,12-14wks
1618,css,Schulz1,D_CO,"diffusing capacity: carbon monoxide",&micro;mol/min/hPa,ventilator,,inbred,,both,7,12-14wks
